,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
0,Maciej Zurawski,Centre-Forward,28,Wisla Kraków,Ekstraklasa,Celtic,Premiership,2005-2006,5000000.0,3100000
1,Clinton Morrison,Centre-Forward,26,Birmingham,Premier League,Crystal Palace,Championship,2005-2006,7000000.0,3000000
2,Jesper Grönkjaer,Left Winger,27,Atlético Madrid,LaLiga,VfB Stuttgart,1.Bundesliga,2005-2006,6500000.0,3000000
3,Santos,Centre-Forward,26,FC Sochaux,Ligue 1,Toulouse,Ligue 1,2005-2006,6500000.0,3000000
4,Aruna Dindane,Second Striker,24,RSC Anderlecht,Jupiler Pro League,Lens,Ligue 1,2005-2006,5000000.0,3000000
5,Albert Riera,Left Winger,23,G. Bordeaux,Ligue 1,Espanyol,LaLiga,2005-2006,4750000.0,3000000
6,Alou Diarra,Defensive Midfield,23,Liverpool,Premier League,Lens,Ligue 1,2005-2006,4000000.0,3000000
7,Frédéric Piquionne,Centre-Forward,26,Stade Rennais,Ligue 1,Saint-Étienne,Ligue 1,2005-2006,4000000.0,3000000
8,Pascal Feindouno,Right Winger,24,G. Bordeaux,Ligue 1,Saint-Étienne,Ligue 1,2005-2006,4000000.0,3000000
9,Fabrice Pancrate,Right Winger,25,Le Mans,Ligue 1,Paris SG,Ligue 1,2005-2006,4000000.0,3000000
10,Grzegorz Rasiak,Centre-Forward,26,Spurs,Premier League,Southampton,Championship,2005-2006,3500000.0,3000000
11,Andrew O'Brien,Centre-Back,26,Newcastle,Premier League,Portsmouth,Premier League,2005-2006,3500000.0,3000000
12,Abou Diaby,Central Midfield,19,AJ Auxerre,Ligue 1,Arsenal,Premier League,2005-2006,3000000.0,3000000
13,Mohamed Zidan,Second Striker,23,FC Midtjylland,Superligaen,Werder Bremen,1.Bundesliga,2005-2006,3000000.0,3000000
14,Erik Edman,Left-Back,26,Spurs,Premier League,Stade Rennais,Ligue 1,2005-2006,3000000.0,3000000
15,David Rozehnal,Centre-Back,25,Club Brugge,Jupiler Pro League,Paris SG,Ligue 1,2005-2006,2500000.0,3000000
16,Sergey Semak,Central Midfield,29,Paris SG,Ligue 1,FK Moskau,Premier Liga,2005-2006,2500000.0,3000000
17,Hossam Ghaly,Central Midfield,24,Feyenoord,Eredivisie,Spurs,Premier League,2005-2006,2500000.0,3000000
18,Moumouni Dagano,Centre-Forward,24,Guingamp,Ligue 2,FC Sochaux,Ligue 1,2005-2006,2500000.0,3000000
19,Luis García,Central Midfield,24,RCD Mallorca,LaLiga,Espanyol,LaLiga,2005-2006,2500000.0,3000000
20,Marcus Bent,Centre-Forward,27,Everton,Premier League,Charlton,Premier League,2005-2006,2250000.0,3000000
21,Wayne Routledge,Left Winger,20,Crystal Palace,Championship,Spurs,Premier League,2005-2006,2250000.0,3000000
22,Emir Spahic,Centre-Back,25,Torpedo Moscow,Premier Liga,Loko Moscow,Premier Liga,2005-2006,2000000.0,3000000
23,David Connolly,Centre-Forward,28,Leicester,Championship,Wigan,Premier League,2005-2006,2000000.0,3000000
24,Leonardo Pisculichi,Attacking Midfield,21,Argentinos,Torneo Final,RCD Mallorca,LaLiga,2005-2006,1750000.0,3000000
25,Claudio Maldonado,Defensive Midfield,26,Cruzeiro,Série A,Santos FC,Série A,2005-2006,1500000.0,3000000
26,Carlos Vela,Right Winger,16,Chivas, Mexico,Arsenal,Premier League,2005-2006,1000000.0,3000000
27,Alessandro Gamberini,Centre-Back,23,Bologna,Serie B,Fiorentina,Serie A,2005-2006,300000.0,3000000
28,Abdul Kader Keita,Right Winger,23,Al Sadd, Qatar,LOSC Lille,Ligue 1,2005-2006,6000000.0,3000000
29,Amr Zaki,Centre-Forward,22,Enppi,Premier League,Loko Moscow,Premier Liga,2005-2006,6000000.0,3000000
30,Sebastián Taborda,Centre-Forward,24,Defensor, Uruguay,Dep. La Coruña,LaLiga,2005-2006,6000000.0,3000000
31,Aleksandr Anyukov,Right-Back,22,KS Samara,Premier Liga,Zenit S-Pb,Premier Liga,2005-2006,6000000.0,3000000
